country_code,year,poor,population,region_name,country_name,effective_headcount
CYM,1981,229.308844788008,17000,Other High Income Countries,Cayman Islands,0.0134887555757652
CYP,1981,6269.9,689000,Other High Income Countries,Cyprus,0.0091
CZE,1981,0,10366000,Europe & Central Asia,Czechia,0
DEU,1981,0,78127000,Other High Income Countries,Germany,0
DJI,1981,99037.5,375000,Middle East & North Africa,Djibouti,0.2641
DMA,1981,23048.4755768969,75000,Latin America & Caribbean,Dominica,0.307313007691959
DNK,1981,38437.5,5125000,Other High Income Countries,Denmark,0.0075
DOM,1981,977029.2,5943000,Latin America & Caribbean,Dominican Republic,0.1644
DZA,1981,3839220,19944000,Middle East & North Africa,Algeria,0.1925
ECU,1981,2919694.4,8183000,Latin America & Caribbean,Ecuador,0.3568
EGY,1981,21509251.2,45216000,Middle East & North Africa,"Egypt, Arab Rep.",0.4757
ERI,1981,1770056.97999384,2455000,Sub-Saharan Africa,Eritrea,0.721000806514801
ESP,1981,620557.3,38071000,Other High Income Countries,Spain,0.0163
EST,1981,47488,1484000,Europe & Central Asia,Estonia,0.032
ETH,1981,30965676,36120000,Sub-Saharan Africa,Ethiopia,0.8573
FIN,1981,0,4809000,Other High Income Countries,Finland,0
FJI,1981,101295.6,651000,East Asia & Pacific,Fiji,0.1556
FRA,1981,271490,54298000,Other High Income Countries,France,0.005
FRO,1981,593.505245333668,44000,Other High Income Countries,Faroe Islands,0.0134887555757652
GAB,1981,97483.5,747000,Sub-Saharan Africa,Gabon,0.1305
GBR,1981,135064.8,56277000,Other High Income Countries,United Kingdom,0.0024
GEO,1981,147994.3,5051000,Europe & Central Asia,Georgia,0.0293
GHA,1981,9485877.6,11118000,Sub-Saharan Africa,Ghana,0.8532
GIB,1981,404.662667272956,30000,Other High Income Countries,Gibraltar,0.0134887555757652
GIN,1981,4449546,4590000,Sub-Saharan Africa,Guinea,0.9694
GMB,1981,546750,625000,Sub-Saharan Africa,"Gambia, The",0.8748
GNB,1981,552733,815000,Sub-Saharan Africa,Guinea-Bissau,0.6782
GNQ,1981,195391.218565511,271000,Sub-Saharan Africa,Equatorial Guinea,0.721000806514801
GRC,1981,265574.4,9728000,Other High Income Countries,Greece,0.0273
GRD,1981,14387.1,91000,Latin America & Caribbean,Grenada,0.1581
GRL,1981,687.926534364025,51000,Other High Income Countries,Greenland,0.0134887555757652
GTM,1981,4687154.8,7466000,Latin America & Caribbean,Guatemala,0.6278
GUM,1981,1443.29684660688,107000,Other High Income Countries,Guam,0.0134887555757652
GUY,1981,376767.6,782000,Latin America & Caribbean,Guyana,0.4818
HKG,1981,67727.041745917,5021000,Other High Income Countries,"Hong Kong SAR, China",0.0134887555757652
HND,1981,2321316,3793000,Latin America & Caribbean,Honduras,0.612
HRV,1981,4158.9,4621000,Europe & Central Asia,Croatia,9e-04
HTI,1981,4139054.7,5819000,Latin America & Caribbean,Haiti,0.7113
HUN,1981,15045.8,10747000,Europe & Central Asia,Hungary,0.0014
IDN,1981,141315408,150978000,East Asia & Pacific,Indonesia,0.936
IMN,1981,863.280356848972,64000,Other High Income Countries,Isle of Man,0.0134887555757652
IND,1981,627615151.8,713118000,South Asia,India,0.8801
IRL,1981,68070.8,3473000,Other High Income Countries,Ireland,0.0196
